,Year,Month,Day,Hour,wind speed at 100m (m/s),wind direction at 100m (deg),power (MW),surface air pressure (Pa),air temperature at 2m (K),density at hub height (kg/m^3)
2009-01-01 00:00:00,2009.0,1.0,1.0,0.0,8.67566666667,285.608166667,7.31875,93809.982,273.340583333,1.18175
2009-01-01 01:00:00,2009.0,1.0,1.0,1.0,4.551,281.983583333,1.09541666667,93745.2046667,273.3995,1.18025
2009-01-01 02:00:00,2009.0,1.0,1.0,2.0,3.15858333333,246.74825,0.12725,93620.6886667,273.311083333,1.17866666667
2009-01-01 03:00:00,2009.0,1.0,1.0,3.0,3.98041666667,232.90775,0.52125,93518.682,273.358916667,1.178
2009-01-01 04:00:00,2009.0,1.0,1.0,4.0,5.51433333333,228.318583333,1.72991666667,93420.0293333,273.221166667,1.17716666667
2009-01-01 05:00:00,2009.0,1.0,1.0,5.0,6.23033333333,225.37475,2.56608333333,93316.038,273.142333333,1.17616666667
2009-01-01 06:00:00,2009.0,1.0,1.0,6.0,6.85633333333,226.414833333,3.49475,93177.6346667,273.144333333,1.17391666667
2009-01-01 07:00:00,2009.0,1.0,1.0,7.0,7.24633333333,228.87325,4.14441666667,93047.6993333,273.569083333,1.16983333333
2009-01-01 08:00:00,2009.0,1.0,1.0,8.0,7.79075,241.51625,5.1465,92950.112,274.455666667,1.16291666667
2009-01-01 09:00:00,2009.0,1.0,1.0,9.0,7.21625,249.557833333,4.09216666667,92855.2713333,275.387,1.15733333333
2009-01-01 10:00:00,2009.0,1.0,1.0,10.0,9.60833333333,255.897333333,9.40633333333,92768.748,276.48125,1.152
2009-01-01 11:00:00,2009.0,1.0,1.0,11.0,12.1994166667,255.76075,12.99775,92729.1493333,277.742416667,1.148
2009-01-01 12:00:00,2009.0,1.0,1.0,12.0,16.098,258.456333333,13.9998333333,92724.4946667,278.819166667,1.14416666667
2009-01-01 13:00:00,2009.0,1.0,1.0,13.0,14.782,259.72575,13.9973333333,92720.072,278.9675,1.14325
2009-01-01 14:00:00,2009.0,1.0,1.0,14.0,16.5574166667,263.314166667,13.9998333333,92688.102,279.280416667,1.14158333333
2009-01-01 15:00:00,2009.0,1.0,1.0,15.0,16.3555,265.409416667,14.0,92642.2493333,279.298666667,1.14108333333
2009-01-01 16:00:00,2009.0,1.0,1.0,16.0,14.6736666667,284.099583333,13.7015833333,92614.3246667,278.805083333,1.14341666667
2009-01-01 17:00:00,2009.0,1.0,1.0,17.0,13.3453333333,299.8995,13.9568333333,92571.596,277.612916667,1.14883333333
2009-01-01 18:00:00,2009.0,1.0,1.0,18.0,11.7001666667,316.95575,13.1426666667,92456.5406667,276.9375,1.14925
2009-01-01 19:00:00,2009.0,1.0,1.0,19.0,10.9118333333,324.702083333,12.3546666667,92372.996,276.017666667,1.15141666667
2009-01-01 20:00:00,2009.0,1.0,1.0,20.0,9.24433333333,320.710583333,8.49725,92334.2413333,275.443583333,1.15325
2009-01-01 21:00:00,2009.0,1.0,1.0,21.0,7.06975,314.988833333,3.78283333333,92270.9193333,274.955916667,1.155
2009-01-01 22:00:00,2009.0,1.0,1.0,22.0,6.7115,316.495916667,3.20033333333,92168.2246667,274.755333333,1.15433333333
2009-01-01 23:00:00,2009.0,1.0,1.0,23.0,5.75258333333,320.215166667,2.01075,92083.0793333,274.2435,1.15475
2009-01-02 00:00:00,2009.0,1.0,2.0,0.0,4.17983333333,331.596,0.582416666667,91989.77,274.148583333,1.15216666667
2009-01-02 01:00:00,2009.0,1.0,2.0,1.0,3.937,312.908333333,0.4845,91940.3286667,273.661666667,1.15483333333
2009-01-02 02:00:00,2009.0,1.0,2.0,2.0,7.57041666667,293.990833333,4.94825,91918.052,272.978166667,1.15858333333
2009-01-02 03:00:00,2009.0,1.0,2.0,3.0,10.8715833333,305.493833333,12.2021666667,91942.3146667,272.901083333,1.15933333333
2009-01-02 04:00:00,2009.0,1.0,2.0,4.0,10.1345833333,297.193583333,10.7475833333,92013.5786667,273.060666667,1.15966666667
2009-01-02 05:00:00,2009.0,1.0,2.0,5.0,12.8225833333,286.932666667,13.4265,92099.1826667,272.92425,1.1615
2009-01-02 06:00:00,2009.0,1.0,2.0,6.0,15.9850833333,286.190166667,13.9996666667,92238.194,272.23525,1.16566666667
2009-01-02 07:00:00,2009.0,1.0,2.0,7.0,19.254,281.272333333,14.0,92378.352,271.465666667,1.17016666667
2009-01-02 08:00:00,2009.0,1.0,2.0,8.0,17.8138333333,281.098416667,14.0,92616.1666667,270.799,1.17666666667
2009-01-02 09:00:00,2009.0,1.0,2.0,9.0,15.47125,279.361,13.9995833333,92810.4966667,271.079833333,1.17983333333
2009-01-02 10:00:00,2009.0,1.0,2.0,10.0,13.36825,275.514333333,13.9178333333,92912.2026667,271.344333333,1.1815
2009-01-02 11:00:00,2009.0,1.0,2.0,11.0,11.4218333333,278.391416667,13.1929166667,93048.238,271.75125,1.182
2009-01-02 12:00:00,2009.0,1.0,2.0,12.0,10.9741666667,283.470416667,12.5835833333,93160.5473333,272.066083333,1.18225
2009-01-02 13:00:00,2009.0,1.0,2.0,13.0,11.3953333333,285.073083333,13.1920833333,93223.4906667,272.146916667,1.18258333333
2009-01-02 14:00:00,2009.0,1.0,2.0,14.0,11.0653333333,284.854,12.7160833333,93281.7053333,272.0335,1.18266666667
2009-01-02 15:00:00,2009.0,1.0,2.0,15.0,11.22625,288.237083333,12.8324166667,93351.7433333,271.3315,1.18308333333
2009-01-02 16:00:00,2009.0,1.0,2.0,16.0,10.4095,287.46,11.55,93450.854,270.52375,1.18491666667
2009-01-02 17:00:00,2009.0,1.0,2.0,17.0,9.107,282.940833333,8.38633333333,93510.828,271.043166667,1.18741666667
2009-01-02 18:00:00,2009.0,1.0,2.0,18.0,7.97391666667,295.259916667,5.71508333333,93542.798,270.186083333,1.18775
2009-01-02 19:00:00,2009.0,1.0,2.0,19.0,7.52575,290.02375,4.78516666667,93640.4573333,267.724833333,1.19083333333
2009-01-02 20:00:00,2009.0,1.0,2.0,20.0,8.31975,299.739333333,6.49766666667,93731.0193333,268.164666667,1.19366666667
2009-01-02 21:00:00,2009.0,1.0,2.0,21.0,7.90908333333,303.690583333,5.56966666667,93797.854,268.594083333,1.19433333333
2009-01-02 22:00:00,2009.0,1.0,2.0,22.0,5.54083333333,306.545333333,1.91266666667,93864.008,267.163666667,1.19641666667
2009-01-02 23:00:00,2009.0,1.0,2.0,23.0,3.97158333333,325.948666667,0.5505,93923.0613333,267.212583333,1.19783333333
2009-01-03 00:00:00,2009.0,1.0,3.0,0.0,6.32183333333,312.4395,2.78975,93995.5406667,267.6365,1.197
2009-01-03 01:00:00,2009.0,1.0,3.0,1.0,7.16508333333,313.231916667,4.11133333333,94033.006,268.308583333,1.19791666667
2009-01-03 02:00:00,2009.0,1.0,3.0,2.0,7.94666666667,308.140083333,5.64633333333,94065.9646667,268.320583333,1.19858333333
2009-01-03 03:00:00,2009.0,1.0,3.0,3.0,8.43425,309.159583333,6.74675,94106.7106667,268.320166667,1.19941666667
2009-01-03 04:00:00,2009.0,1.0,3.0,4.0,8.1645,304.007416667,6.12,94177.5873333,268.269666667,1.20016666667
2009-01-03 05:00:00,2009.0,1.0,3.0,5.0,6.76,305.73475,3.57258333333,94251.8966667,267.61425,1.20116666667
2009-01-03 06:00:00,2009.0,1.0,3.0,6.0,4.98416666667,301.446666667,1.24316666667,94311.4126667,266.894583333,1.20333333333
2009-01-03 07:00:00,2009.0,1.0,3.0,7.0,4.47791666667,292.07525,0.841083333333,94359.4,266.982833333,1.20441666667
2009-01-03 08:00:00,2009.0,1.0,3.0,8.0,4.30516666667,294.3085,0.69725,94420.5893333,268.098916667,1.205
2009-01-03 09:00:00,2009.0,1.0,3.0,9.0,3.8745,299.864416667,0.433416666667,94474.6093333,270.004916667,1.205
2009-01-03 10:00:00,2009.0,1.0,3.0,10.0,3.28358333333,297.103166667,0.15775,94499.6353333,270.629166667,1.20483333333
2009-01-03 11:00:00,2009.0,1.0,3.0,11.0,4.1185,297.94425,0.557,94519.3953333,271.138583333,1.20333333333
