,Year,Month,Day,Hour,wind speed at 100m (m/s),wind direction at 100m (deg),power (MW),surface air pressure (Pa),air temperature at 2m (K),density at hub height (kg/m^3)
2011-01-01 00:00:00,2011.0,1.0,1.0,0.0,14.5413333333,289.891166667,15.9920833333,82379.6953333,264.134083333,1.07316666667
2011-01-01 01:00:00,2011.0,1.0,1.0,1.0,15.1340833333,290.961083333,15.9974166667,82414.1013333,263.869666667,1.0745
2011-01-01 02:00:00,2011.0,1.0,1.0,2.0,14.6330833333,291.117666667,15.9746666667,82440.958,263.550166667,1.07608333333
2011-01-01 03:00:00,2011.0,1.0,1.0,3.0,11.6829166667,288.765333333,14.6655833333,82463.318,263.173416667,1.07733333333
2011-01-01 04:00:00,2011.0,1.0,1.0,4.0,10.8814166667,288.39225,13.3180833333,82525.4173333,262.816166667,1.07875
2011-01-01 05:00:00,2011.0,1.0,1.0,5.0,10.7806666667,282.328166667,12.9901666667,82586.532,262.614083333,1.08016666667
2011-01-01 06:00:00,2011.0,1.0,1.0,6.0,11.3526666667,285.41375,14.2565833333,82636.8806667,262.342666667,1.08175
2011-01-01 07:00:00,2011.0,1.0,1.0,7.0,10.7074166667,290.874083333,12.9261666667,82675.496,262.289083333,1.08233333333
2011-01-01 08:00:00,2011.0,1.0,1.0,8.0,11.4389166667,290.342583333,14.2628333333,82727.0586667,264.116583333,1.08025
2011-01-01 09:00:00,2011.0,1.0,1.0,9.0,11.4436666667,291.467166667,14.2704166667,82769.48,265.915833333,1.07591666667
2011-01-01 10:00:00,2011.0,1.0,1.0,10.0,10.374,292.289333333,11.9691666667,82784.7473333,267.56175,1.07025
2011-01-01 11:00:00,2011.0,1.0,1.0,11.0,9.09116666667,291.24275,8.34816666667,82775.6006667,269.040666667,1.06458333333
2011-01-01 12:00:00,2011.0,1.0,1.0,12.0,9.47975,280.174916667,9.4095,82783.7646667,269.95575,1.06125
2011-01-01 13:00:00,2011.0,1.0,1.0,13.0,11.1175833333,273.858,13.6851666667,82822.972,270.372416667,1.06008333333
2011-01-01 14:00:00,2011.0,1.0,1.0,14.0,12.3775833333,274.7355,15.5016666667,82804.5853333,270.44625,1.059
2011-01-01 15:00:00,2011.0,1.0,1.0,15.0,12.8710833333,276.185833333,15.7395,82814.73,269.900666667,1.05966666667
2011-01-01 16:00:00,2011.0,1.0,1.0,16.0,13.2130833333,278.540083333,15.839,82817.0206667,268.536916667,1.06166666667
2011-01-01 17:00:00,2011.0,1.0,1.0,17.0,12.1368333333,277.15875,14.80175,82869.1213333,267.238083333,1.06516666667
2011-01-01 18:00:00,2011.0,1.0,1.0,18.0,16.0868333333,278.107916667,15.9996666667,82820.6906667,267.555666667,1.06425
2011-01-01 19:00:00,2011.0,1.0,1.0,19.0,13.3316666667,279.976916667,15.7838333333,82872.43,267.488916667,1.06425
2011-01-01 20:00:00,2011.0,1.0,1.0,20.0,12.4979166667,283.5975,15.5851666667,82918.9666667,267.4925,1.06458333333
2011-01-01 21:00:00,2011.0,1.0,1.0,21.0,12.22725,285.18375,15.28375,82967.6373333,267.405666667,1.06408333333
2011-01-01 22:00:00,2011.0,1.0,1.0,22.0,6.85,301.418,5.09866666667,83021.3393333,266.816166667,1.06441666667
2011-01-01 23:00:00,2011.0,1.0,1.0,23.0,2.00791666667,333.796416667,0.000666666666667,83075.7406667,265.602666667,1.06625
2011-01-02 00:00:00,2011.0,1.0,2.0,0.0,2.58275,327.133166667,0.06425,83116.4053333,264.961,1.06891666667
2011-01-02 01:00:00,2011.0,1.0,2.0,1.0,5.95391666667,306.910916667,2.26841666667,83149.9726667,264.890166667,1.06858333333
2011-01-02 02:00:00,2011.0,1.0,2.0,2.0,7.86675,298.725666667,5.45325,83129.3753333,265.408166667,1.06641666667
2011-01-02 03:00:00,2011.0,1.0,2.0,3.0,8.54558333333,295.972666667,6.9235,83119.534,265.432166667,1.06433333333
2011-01-02 04:00:00,2011.0,1.0,2.0,4.0,9.97208333333,290.009083333,10.80925,83139.6033333,265.428583333,1.065
2011-01-02 05:00:00,2011.0,1.0,2.0,5.0,10.4883333333,284.254166667,12.23725,83144.6393333,265.273166667,1.06566666667
2011-01-02 06:00:00,2011.0,1.0,2.0,6.0,10.9166666667,286.356333333,13.32,83135.6346667,265.12875,1.06708333333
