,Year,Month,Day,Hour,wind speed at 100m (m/s),wind direction at 100m (deg),power (MW),surface air pressure (Pa),air temperature at 2m (K),density at hub height (kg/m^3)
2009-01-01 00:00:00,2009.0,1.0,1.0,0.0,19.745,265.745666667,16.0,82979.7733333,277.222666667,1.02441666667
2009-01-01 01:00:00,2009.0,1.0,1.0,1.0,19.7524166667,263.183333333,16.0,82977.79,276.830166667,1.0265
2009-01-01 02:00:00,2009.0,1.0,1.0,2.0,18.7063333333,260.044166667,16.0,82948.7233333,276.140583333,1.02866666667
2009-01-01 03:00:00,2009.0,1.0,1.0,3.0,17.6813333333,259.334916667,16.0,82891.892,275.947416667,1.02833333333
2009-01-01 04:00:00,2009.0,1.0,1.0,4.0,15.90975,261.896833333,15.9993333333,82891.2753333,276.004916667,1.02691666667
2009-01-01 05:00:00,2009.0,1.0,1.0,5.0,18.2584166667,267.477333333,16.0,82862.4353333,276.575416667,1.02583333333
2009-01-01 06:00:00,2009.0,1.0,1.0,6.0,20.2186666667,270.302,16.0,82822.2246667,277.099416667,1.02375
2009-01-01 07:00:00,2009.0,1.0,1.0,7.0,21.3370833333,272.0115,16.0,82781.7933333,277.37575,1.02316666667
2009-01-01 08:00:00,2009.0,1.0,1.0,8.0,18.6485,275.525083333,16.0,82861.814,279.275583333,1.02058333333
2009-01-01 09:00:00,2009.0,1.0,1.0,9.0,15.551,269.417833333,15.9960833333,82915.834,280.28675,1.02133333333
2009-01-01 10:00:00,2009.0,1.0,1.0,10.0,14.7044166667,269.53175,15.9879166667,82916.5226667,282.114833333,1.01608333333
2009-01-01 11:00:00,2009.0,1.0,1.0,11.0,14.3101666667,276.237416667,15.9690833333,82893.71,283.983916667,1.00975
2009-01-01 12:00:00,2009.0,1.0,1.0,12.0,14.0488333333,281.1885,15.9484166667,82896.15,285.122166667,1.00616666667
2009-01-01 13:00:00,2009.0,1.0,1.0,13.0,13.9698333333,285.161,15.898,82884.1753333,285.7665,1.00341666667
2009-01-01 14:00:00,2009.0,1.0,1.0,14.0,13.2789166667,285.794,15.7016666667,82867.2453333,285.840166667,1.00225
2009-01-01 15:00:00,2009.0,1.0,1.0,15.0,12.2428333333,287.52125,14.1675833333,82839.772,285.094,1.00283333333
2009-01-01 16:00:00,2009.0,1.0,1.0,16.0,9.85491666667,279.909,9.97925,82870.1386667,282.39275,1.00725
2009-01-01 17:00:00,2009.0,1.0,1.0,17.0,12.73025,273.42575,15.46175,82872.046,280.513083333,1.01225
2009-01-01 18:00:00,2009.0,1.0,1.0,18.0,16.53975,281.648583333,15.9988333333,82815.2833333,280.40025,1.01216666667
2009-01-01 19:00:00,2009.0,1.0,1.0,19.0,16.5236666667,284.762583333,15.9905833333,82748.1433333,280.566666667,1.01033333333
2009-01-01 20:00:00,2009.0,1.0,1.0,20.0,13.1861666667,272.287083333,15.1301666667,82809.5573333,279.51925,1.01158333333
2009-01-01 21:00:00,2009.0,1.0,1.0,21.0,14.5560833333,268.658666667,15.6435,82837.1846667,279.114,1.01383333333
2009-01-01 22:00:00,2009.0,1.0,1.0,22.0,18.111,273.01125,16.0,82800.864,279.062916667,1.01566666667
2009-01-01 23:00:00,2009.0,1.0,1.0,23.0,17.4141666667,277.998666667,16.0,82787.5846667,278.972416667,1.01525
2009-01-02 00:00:00,2009.0,1.0,2.0,0.0,16.6069166667,279.389833333,16.0,82783.6973333,278.805833333,1.01541666667
2009-01-02 01:00:00,2009.0,1.0,2.0,1.0,15.4868333333,275.47075,15.9943333333,82788.4233333,278.375833333,1.01658333333
2009-01-02 02:00:00,2009.0,1.0,2.0,2.0,15.36975,276.651166667,15.9968333333,82765.3086667,278.140416667,1.01566666667
2009-01-02 03:00:00,2009.0,1.0,2.0,3.0,15.5381666667,280.951833333,15.9983333333,82746.4613333,278.07075,1.01633333333
2009-01-02 04:00:00,2009.0,1.0,2.0,4.0,15.18925,284.297166667,15.99525,82738.066,277.697666667,1.01833333333
2009-01-02 05:00:00,2009.0,1.0,2.0,5.0,13.11725,281.450416667,15.7131666667,82741.4966667,277.038,1.018
2009-01-02 06:00:00,2009.0,1.0,2.0,6.0,13.9995,282.640583333,15.9481666667,82729.5233333,277.18775,1.01683333333
2009-01-02 07:00:00,2009.0,1.0,2.0,7.0,14.21675,284.368166667,15.9636666667,82697.6313333,277.852416667,1.01425
2009-01-02 08:00:00,2009.0,1.0,2.0,8.0,12.297,283.021333333,14.7573333333,82690.6113333,281.008666667,1.00958333333
2009-01-02 09:00:00,2009.0,1.0,2.0,9.0,11.136,280.308583333,13.3611666667,82664.6766667,284.1785,1.00333333333
2009-01-02 10:00:00,2009.0,1.0,2.0,10.0,11.505,277.034,14.0181666667,82624.3133333,285.621166667,0.999916666667
2009-01-02 11:00:00,2009.0,1.0,2.0,11.0,12.2853333333,274.449,15.2239166667,82586.928,286.577166667,0.997166666667
2009-01-02 12:00:00,2009.0,1.0,2.0,12.0,13.3276666667,272.07375,15.7798333333,82556.1773333,286.79125,0.9965
2009-01-02 13:00:00,2009.0,1.0,2.0,13.0,14.3659166667,268.59725,15.9673333333,82513.1473333,286.910416667,0.995083333333
2009-01-02 14:00:00,2009.0,1.0,2.0,14.0,14.2994166667,267.563833333,15.9628333333,82457.7606667,286.627833333,0.995
2009-01-02 15:00:00,2009.0,1.0,2.0,15.0,13.7220833333,266.609333333,15.92075,82416.5586667,285.703583333,0.996
2009-01-02 16:00:00,2009.0,1.0,2.0,16.0,14.36175,265.2755,15.9615833333,82384.898,283.609916667,0.99975
