,Year,Month,Day,Hour,wind speed at 100m (m/s),wind direction at 100m (deg),power (MW),surface air pressure (Pa),air temperature at 2m (K),density at hub height (kg/m^3)
2008-01-01 00:00:00,2008.0,1.0,1.0,0.0,8.09116666667,95.9431666667,4.51658333333,96565.284,272.732,1.21375
2008-01-01 01:00:00,2008.0,1.0,1.0,1.0,8.10933333333,95.2529166667,4.54341666667,96529.422,272.751583333,1.213
2008-01-01 02:00:00,2008.0,1.0,1.0,2.0,7.86666666667,95.3068333333,4.1685,96491.8833333,272.594,1.21441666667
2008-01-01 03:00:00,2008.0,1.0,1.0,3.0,7.33925,97.5141666667,3.35225,96467.8513333,272.045666667,1.21583333333
2008-01-01 04:00:00,2008.0,1.0,1.0,4.0,7.56458333333,96.221,3.70158333333,96452.514,272.483166667,1.21566666667
2008-01-01 05:00:00,2008.0,1.0,1.0,5.0,7.91566666667,96.3433333333,4.24966666667,96428.0266667,272.544333333,1.216
2008-01-01 06:00:00,2008.0,1.0,1.0,6.0,8.44025,97.2844166667,5.14808333333,96371.4873333,272.481666667,1.21633333333
2008-01-01 07:00:00,2008.0,1.0,1.0,7.0,8.09258333333,103.125833333,4.53583333333,96351.3473333,272.1335,1.2185
2008-01-01 08:00:00,2008.0,1.0,1.0,8.0,8.72525,104.08475,5.69983333333,96342.8786667,272.1315,1.21883333333
2008-01-01 09:00:00,2008.0,1.0,1.0,9.0,9.2275,104.285333333,6.6495,96318.0053333,272.474833333,1.21791666667
2008-01-01 10:00:00,2008.0,1.0,1.0,10.0,9.05583333333,107.743083333,6.32675,96274.44,272.741333333,1.21758333333
2008-01-01 11:00:00,2008.0,1.0,1.0,11.0,9.03458333333,108.429416667,6.27758333333,96213.174,273.189666667,1.21591666667
2008-01-01 12:00:00,2008.0,1.0,1.0,12.0,9.18841666667,109.689,6.56008333333,96165.412,273.663333333,1.21358333333
2008-01-01 13:00:00,2008.0,1.0,1.0,13.0,9.24658333333,108.7635,6.66308333333,96107.8093333,273.77325,1.212
2008-01-01 14:00:00,2008.0,1.0,1.0,14.0,9.18658333333,107.382333333,6.54591666667,96001.91,273.386166667,1.21116666667
2008-01-01 15:00:00,2008.0,1.0,1.0,15.0,9.4285,106.840416667,6.98075,95923.8593333,272.83225,1.21041666667
2008-01-01 16:00:00,2008.0,1.0,1.0,16.0,9.73725,106.582166667,7.53866666667,95860.2273333,272.385166667,1.209
2008-01-01 17:00:00,2008.0,1.0,1.0,17.0,9.93233333333,108.012666667,7.89225,95791.942,272.00825,1.20916666667
2008-01-01 18:00:00,2008.0,1.0,1.0,18.0,9.7305,108.167333333,7.52358333333,95704.0486667,271.86475,1.20858333333
2008-01-01 19:00:00,2008.0,1.0,1.0,19.0,9.4645,109.023083333,7.03433333333,95619.97,271.912083333,1.20666666667
2008-01-01 20:00:00,2008.0,1.0,1.0,20.0,8.83033333333,109.581916667,5.84158333333,95566.18,271.98175,1.206
2008-01-01 21:00:00,2008.0,1.0,1.0,21.0,8.31208333333,110.063666667,4.85341666667,95508.044,272.02425,1.20516666667
2008-01-01 22:00:00,2008.0,1.0,1.0,22.0,8.12966666667,112.313416667,4.5435,95437.7746667,272.003583333,1.20416666667
2008-01-01 23:00:00,2008.0,1.0,1.0,23.0,7.75875,116.098333333,3.96533333333,95384.6726667,271.999583333,1.20391666667
2008-01-02 00:00:00,2008.0,1.0,2.0,0.0,7.19683333333,118.084083333,3.12116666667,95340.574,272.07775,1.2025
2008-01-02 01:00:00,2008.0,1.0,2.0,1.0,6.89533333333,119.15775,2.73808333333,95272.44,272.063083333,1.20158333333
