,Year,Month,Day,Hour,wind speed at 100m (m/s),wind direction at 100m (deg),power (MW),surface air pressure (Pa),air temperature at 2m (K),density at hub height (kg/m^3)
2012-01-01 00:00:00,2012.0,1.0,1.0,0.0,4.36375,87.44775,0.79125,83848.09,273.296333333,1.043
2012-01-01 01:00:00,2012.0,1.0,1.0,1.0,2.7465,62.623,0.212833333333,83920.6486667,272.72025,1.0485
2012-01-01 02:00:00,2012.0,1.0,1.0,2.0,1.74241666667,107.422,0.003,83969.4773333,272.46725,1.04983333333
2012-01-01 03:00:00,2012.0,1.0,1.0,3.0,2.89116666667,160.552916667,0.131583333333,83995.722,272.262583333,1.052
2012-01-01 04:00:00,2012.0,1.0,1.0,4.0,7.4095,161.165583333,4.66075,84046.9926667,271.86025,1.05733333333
2012-01-01 05:00:00,2012.0,1.0,1.0,5.0,7.04275,149.158666667,4.01216666667,84099.714,271.51575,1.06025
2012-01-01 06:00:00,2012.0,1.0,1.0,6.0,7.59683333333,145.465416667,4.77891666667,84129.164,271.008,1.062
2012-01-01 07:00:00,2012.0,1.0,1.0,7.0,6.73716666667,145.56825,3.31216666667,84154.3433333,271.256,1.06241666667
2012-01-01 08:00:00,2012.0,1.0,1.0,8.0,4.19758333333,161.271666667,0.607833333333,84200.348,272.746916667,1.064
2012-01-01 09:00:00,2012.0,1.0,1.0,9.0,4.213,159.40225,0.589166666667,84231.708,273.849833333,1.06258333333
2012-01-01 10:00:00,2012.0,1.0,1.0,10.0,4.65141666667,159.395166667,0.88175,84210.3426667,274.747916667,1.0595
2012-01-01 11:00:00,2012.0,1.0,1.0,11.0,4.27266666667,163.308333333,0.594416666667,84183.8666667,275.99175,1.05433333333
2012-01-01 12:00:00,2012.0,1.0,1.0,12.0,4.4525,161.319,0.716,84169.6,277.36375,1.049
2012-01-01 13:00:00,2012.0,1.0,1.0,13.0,4.83058333333,154.57075,1.02233333333,84162.048,277.94275,1.04658333333
2012-01-01 14:00:00,2012.0,1.0,1.0,14.0,5.48016666667,152.01525,1.607,84136.49,277.951,1.046
2012-01-01 15:00:00,2012.0,1.0,1.0,15.0,5.04833333333,158.412833333,1.21275,84112.9113333,277.575916667,1.04616666667
2012-01-01 16:00:00,2012.0,1.0,1.0,16.0,5.87908333333,157.018666667,2.098,84111.2326667,275.965916667,1.04808333333
2012-01-01 17:00:00,2012.0,1.0,1.0,17.0,6.09316666667,161.28725,2.35333333333,84145.2606667,273.760583333,1.05075
2012-01-01 18:00:00,2012.0,1.0,1.0,18.0,5.98525,170.478833333,2.22,84176.696,272.678916667,1.05216666667
2012-01-01 19:00:00,2012.0,1.0,1.0,19.0,6.04066666667,176.187833333,2.29041666667,84186.462,272.638416667,1.05216666667
2012-01-01 20:00:00,2012.0,1.0,1.0,20.0,6.05133333333,163.932333333,2.31075,84205.9933333,272.522666667,1.055
2012-01-01 21:00:00,2012.0,1.0,1.0,21.0,4.95741666667,165.48675,1.1515,84227.586,272.393166667,1.05658333333
2012-01-01 22:00:00,2012.0,1.0,1.0,22.0,3.91275,168.640583333,0.40375,84240.3286667,272.092083333,1.058
2012-01-01 23:00:00,2012.0,1.0,1.0,23.0,2.74783333333,162.786083333,0.0400833333333,84261.0806667,271.98125,1.058
2012-01-02 00:00:00,2012.0,1.0,2.0,0.0,2.25225,162.838916667,0.0085,84299.3806667,271.765333333,1.05808333333
2012-01-02 01:00:00,2012.0,1.0,2.0,1.0,2.46866666667,131.81125,0.0205,84340.1226667,271.424416667,1.06116666667
2012-01-02 02:00:00,2012.0,1.0,2.0,2.0,3.06058333333,159.077583333,0.0638333333333,84335.0853333,271.275416667,1.062
2012-01-02 03:00:00,2012.0,1.0,2.0,3.0,2.665,155.416166667,0.0341666666667,84337.9873333,271.026666667,1.063
2012-01-02 04:00:00,2012.0,1.0,2.0,4.0,2.77766666667,144.016916667,0.0428333333333,84367.6666667,270.742416667,1.06508333333
2012-01-02 05:00:00,2012.0,1.0,2.0,5.0,2.56225,156.784416667,0.0269166666667,84406.1173333,270.488416667,1.06683333333
2012-01-02 06:00:00,2012.0,1.0,2.0,6.0,2.10466666667,169.789833333,0.0,84420.92,270.18675,1.06716666667
2012-01-02 07:00:00,2012.0,1.0,2.0,7.0,1.8805,159.726,0.0,84428.0153333,270.313416667,1.06716666667
2012-01-02 08:00:00,2012.0,1.0,2.0,8.0,1.78708333333,149.914916667,0.0,84448.4626667,272.167416667,1.067
2012-01-02 09:00:00,2012.0,1.0,2.0,9.0,1.37791666667,156.066583333,0.0,84440.4546667,273.581916667,1.06566666667
2012-01-02 10:00:00,2012.0,1.0,2.0,10.0,2.48333333333,142.614,0.0235,84422.4473333,274.565916667,1.062
2012-01-02 11:00:00,2012.0,1.0,2.0,11.0,2.89975,147.532416667,0.0514166666667,84401.1593333,275.326416667,1.05916666667
2012-01-02 12:00:00,2012.0,1.0,2.0,12.0,3.221,161.616166667,0.0754166666667,84371.48,276.198583333,1.05558333333
2012-01-02 13:00:00,2012.0,1.0,2.0,13.0,3.26508333333,169.2975,0.08275,84335.1633333,276.895333333,1.05241666667
2012-01-02 14:00:00,2012.0,1.0,2.0,14.0,3.39883333333,170.622916667,0.122583333333,84255.5866667,277.538916667,1.04883333333
2012-01-02 15:00:00,2012.0,1.0,2.0,15.0,3.7805,170.699166667,0.325166666667,84172.654,277.695416667,1.04625
2012-01-02 16:00:00,2012.0,1.0,2.0,16.0,4.57591666667,182.464166667,0.809333333333,84122.2993333,275.688666667,1.04675
