,Year,Month,Day,Hour,wind speed at 100m (m/s),wind direction at 100m (deg),power (MW),surface air pressure (Pa),air temperature at 2m (K),density at hub height (kg/m^3)
2008-01-01 00:00:00,2008.0,1.0,1.0,0.0,10.944,325.432666667,15.21325,100121.161333,271.78025,1.256
2008-01-01 01:00:00,2008.0,1.0,1.0,1.0,10.194,318.113333333,14.2639166667,100205.316,271.845916667,1.258
2008-01-01 02:00:00,2008.0,1.0,1.0,2.0,10.1450833333,311.162416667,14.2169166667,100293.515333,271.667333333,1.26141666667
2008-01-01 03:00:00,2008.0,1.0,1.0,3.0,10.24575,308.962333333,14.4385833333,100354.628667,271.261916667,1.265
2008-01-01 04:00:00,2008.0,1.0,1.0,4.0,10.6869166667,314.059583333,14.99325,100390.106,271.6145,1.26508333333
2008-01-01 05:00:00,2008.0,1.0,1.0,5.0,10.4545833333,310.16825,14.6903333333,100472.430667,271.661333333,1.26691666667
2008-01-01 06:00:00,2008.0,1.0,1.0,6.0,10.2008333333,308.26325,14.265,100575.124,271.1665,1.2715
2008-01-01 07:00:00,2008.0,1.0,1.0,7.0,9.59075,312.971916667,13.1463333333,100669.886,270.76125,1.274
2008-01-01 08:00:00,2008.0,1.0,1.0,8.0,10.9115833333,328.04925,14.91275,100762.890667,271.906,1.27541666667
2008-01-01 09:00:00,2008.0,1.0,1.0,9.0,11.5833333333,335.950916667,15.7111666667,100852.384667,273.083416667,1.2755
2008-01-01 10:00:00,2008.0,1.0,1.0,10.0,10.8466666667,334.634916667,15.1750833333,100910.676,273.4355,1.276
2008-01-01 11:00:00,2008.0,1.0,1.0,11.0,11.2144166667,327.699166667,15.4840833333,100925.63,273.954833333,1.27441666667
2008-01-01 12:00:00,2008.0,1.0,1.0,12.0,12.3063333333,322.812333333,15.9504166667,100946.229333,274.350166667,1.27291666667
2008-01-01 13:00:00,2008.0,1.0,1.0,13.0,12.5144166667,319.52925,15.9829166667,100962.558,274.647083333,1.27141666667
2008-01-01 14:00:00,2008.0,1.0,1.0,14.0,13.3761666667,316.581833333,16.0,100952.03,274.789416667,1.26966666667
2008-01-01 15:00:00,2008.0,1.0,1.0,15.0,13.1608333333,319.21875,15.9974166667,100939.059333,274.34475,1.26983333333
2008-01-01 16:00:00,2008.0,1.0,1.0,16.0,11.21175,319.1635,15.43175,100949.738667,273.088833333,1.27125
2008-01-01 17:00:00,2008.0,1.0,1.0,17.0,10.7645,318.119333333,15.0885,100975.756667,271.39625,1.27283333333
2008-01-01 18:00:00,2008.0,1.0,1.0,18.0,11.2150833333,319.49125,15.39475,101003.451333,270.9985,1.27433333333
2008-01-01 19:00:00,2008.0,1.0,1.0,19.0,9.902,320.859083333,13.7989166667,101052.433333,270.539666667,1.27658333333
2008-01-01 20:00:00,2008.0,1.0,1.0,20.0,10.16975,317.587833333,14.0436666667,101073.262667,270.311166667,1.2785
2008-01-01 21:00:00,2008.0,1.0,1.0,21.0,11.5333333333,325.316583333,15.7311666667,101100.118,270.294833333,1.28175
2008-01-01 22:00:00,2008.0,1.0,1.0,22.0,12.1350833333,337.819166667,15.91925,101122.703333,270.46325,1.2835
2008-01-01 23:00:00,2008.0,1.0,1.0,23.0,11.1425833333,340.493666667,15.4074166667,101166.267333,270.08625,1.287
2008-01-02 00:00:00,2008.0,1.0,2.0,0.0,9.91475,341.365166667,13.9013333333,101226.313333,269.442416667,1.29083333333
2008-01-02 01:00:00,2008.0,1.0,2.0,1.0,9.70291666667,340.143333333,13.4815,101284.374667,268.931833333,1.29425
2008-01-02 02:00:00,2008.0,1.0,2.0,2.0,10.3036666667,338.418916667,13.9261666667,101353.959333,268.503916667,1.298
2008-01-02 03:00:00,2008.0,1.0,2.0,3.0,10.8085833333,348.872333333,15.1629166667,101423.463333,267.8715,1.30358333333
2008-01-02 04:00:00,2008.0,1.0,2.0,4.0,8.03541666667,349.599416667,8.99766666667,101466.338667,267.172416667,1.3065
2008-01-02 05:00:00,2008.0,1.0,2.0,5.0,9.11541666667,295.722083333,12.1056666667,101526.384,266.640166667,1.311
2008-01-02 06:00:00,2008.0,1.0,2.0,6.0,8.60533333333,356.062333333,10.763,101583.685333,266.157833333,1.3135
2008-01-02 07:00:00,2008.0,1.0,2.0,7.0,6.90433333333,207.981833333,6.23241666667,101641.138,265.650416667,1.31616666667
2008-01-02 08:00:00,2008.0,1.0,2.0,8.0,7.07091666667,236.950416667,6.30858333333,101695.840667,266.041833333,1.318
2008-01-02 09:00:00,2008.0,1.0,2.0,9.0,6.51833333333,4.45833333333,5.00791666667,101717.434,266.748166667,1.3175
2008-01-02 10:00:00,2008.0,1.0,2.0,10.0,4.91133333333,180.027,1.91366666667,101725.978667,267.480083333,1.31458333333
2008-01-02 11:00:00,2008.0,1.0,2.0,11.0,4.30233333333,355.910083333,1.1115,101698.663333,268.267333333,1.3105
