,Year,Month,Day,Hour,wind speed at 100m (m/s),wind direction at 100m (deg),power (MW),surface air pressure (Pa),air temperature at 2m (K),density at hub height (kg/m^3)
2007-01-01 00:00:00,2007.0,1.0,1.0,0.0,5.73925,171.133,1.932,83313.6333333,267.332416667,1.054
2007-01-01 01:00:00,2007.0,1.0,1.0,1.0,4.8795,164.7485,1.07633333333,83314.0146667,267.529666667,1.05466666667
2007-01-01 02:00:00,2007.0,1.0,1.0,2.0,6.31825,144.94825,2.66,83283.7246667,267.5135,1.0545
2007-01-01 03:00:00,2007.0,1.0,1.0,3.0,5.54133333333,151.916583333,1.72858333333,83243.7466667,267.297333333,1.05658333333
2007-01-01 04:00:00,2007.0,1.0,1.0,4.0,4.83133333333,158.274416667,1.03775,83236.4966667,267.23775,1.05766666667
2007-01-01 05:00:00,2007.0,1.0,1.0,5.0,4.49841666667,155.777916667,0.74575,83233.2153333,267.20475,1.05833333333
2007-01-01 06:00:00,2007.0,1.0,1.0,6.0,4.11108333333,153.137,0.513583333333,83226.3486667,267.057833333,1.05958333333
2007-01-01 07:00:00,2007.0,1.0,1.0,7.0,3.44591666667,151.42175,0.15475,83209.338,267.355,1.06025
2007-01-01 08:00:00,2007.0,1.0,1.0,8.0,3.22566666667,148.8685,0.0816666666667,83217.806,269.544583333,1.06158333333
2007-01-01 09:00:00,2007.0,1.0,1.0,9.0,2.55583333333,151.1565,0.0259166666667,83205.6733333,270.553583333,1.06141666667
2007-01-01 10:00:00,2007.0,1.0,1.0,10.0,2.5925,154.825583333,0.0285,83177.674,271.291916667,1.05866666667
2007-01-01 11:00:00,2007.0,1.0,1.0,11.0,2.64025,150.31125,0.03175,83149.4433333,272.128166667,1.05525
2007-01-01 12:00:00,2007.0,1.0,1.0,12.0,3.42283333333,145.323416667,0.15025,83140.8986667,272.875083333,1.05266666667
2007-01-01 13:00:00,2007.0,1.0,1.0,13.0,3.85708333333,146.770833333,0.369333333333,83128.4646667,273.28775,1.05083333333
2007-01-01 14:00:00,2007.0,1.0,1.0,14.0,4.32125,140.856833333,0.625166666667,83094.8906667,273.333,1.04983333333
2007-01-01 15:00:00,2007.0,1.0,1.0,15.0,4.576,141.761916667,0.802416666667,83062.926,273.142166667,1.04933333333
2007-01-01 16:00:00,2007.0,1.0,1.0,16.0,4.6835,134.576916667,0.899416666667,83068.9506667,271.304333333,1.05125
2007-01-01 17:00:00,2007.0,1.0,1.0,17.0,4.83541666667,139.813833333,1.03516666667,83102.2926667,270.425166667,1.05283333333
2007-01-01 18:00:00,2007.0,1.0,1.0,18.0,4.42208333333,135.03375,0.679833333333,83126.8606667,270.223916667,1.05275
2007-01-01 19:00:00,2007.0,1.0,1.0,19.0,4.29608333333,123.143333333,0.610166666667,83134.4913333,270.241916667,1.05266666667
2007-01-01 20:00:00,2007.0,1.0,1.0,20.0,4.37183333333,127.376916667,0.692083333333,83149.672,270.336916667,1.05225
2007-01-01 21:00:00,2007.0,1.0,1.0,21.0,4.28891666667,134.76625,0.646166666667,83159.5926667,270.444833333,1.05258333333
2007-01-01 22:00:00,2007.0,1.0,1.0,22.0,5.81933333333,125.686416667,2.025,83168.8233333,270.576333333,1.05316666667
2007-01-01 23:00:00,2007.0,1.0,1.0,23.0,5.805,106.661916667,1.99958333333,83192.3986667,270.150083333,1.05591666667
2007-01-02 00:00:00,2007.0,1.0,2.0,0.0,4.94325,99.6131666667,1.14308333333,83216.8153333,269.732583333,1.057
2007-01-02 01:00:00,2007.0,1.0,2.0,1.0,3.93033333333,97.5824166667,0.413666666667,83232.6833333,268.985083333,1.05866666667
2007-01-02 02:00:00,2007.0,1.0,2.0,2.0,3.10275,97.629,0.0900833333333,83219.7893333,268.455083333,1.06016666667
2007-01-02 03:00:00,2007.0,1.0,2.0,3.0,2.28925,94.5048333333,0.00566666666667,83209.7933333,268.33575,1.061
2007-01-02 04:00:00,2007.0,1.0,2.0,4.0,2.30158333333,92.0685,0.00666666666667,83222.3833333,268.08775,1.06225
2007-01-02 05:00:00,2007.0,1.0,2.0,5.0,2.18816666667,67.6605833333,0.00075,83242.2966667,267.593583333,1.06341666667
2007-01-02 06:00:00,2007.0,1.0,2.0,6.0,2.0485,62.4065,0.0,83257.5566667,267.448166667,1.064
2007-01-02 07:00:00,2007.0,1.0,2.0,7.0,1.82675,71.4988333333,0.0,83271.1353333,267.749916667,1.064
2007-01-02 08:00:00,2007.0,1.0,2.0,8.0,1.48725,63.1969166667,0.0,83302.57,269.286083333,1.0645
2007-01-02 09:00:00,2007.0,1.0,2.0,9.0,1.08308333333,49.5905833333,0.0,83314.8546667,270.483833333,1.06316666667
2007-01-02 10:00:00,2007.0,1.0,2.0,10.0,1.18558333333,59.2616666667,0.0,83305.1633333,271.3025,1.06025
2007-01-02 11:00:00,2007.0,1.0,2.0,11.0,1.24125,88.42625,0.0,83284.106,272.072583333,1.05716666667
2007-01-02 12:00:00,2007.0,1.0,2.0,12.0,1.47858333333,125.890916667,0.0,83256.794,272.825166667,1.05375
