,Year,Month,Day,Hour,wind speed at 100m (m/s),wind direction at 100m (deg),power (MW),surface air pressure (Pa),air temperature at 2m (K),density at hub height (kg/m^3)
2009-01-01 00:00:00,2009.0,1.0,1.0,0.0,19.2893333333,267.154583333,16.0,82736.0006667,276.794083333,1.02316666667
2009-01-01 01:00:00,2009.0,1.0,1.0,1.0,19.344,264.91675,16.0,82728.6013333,276.396416667,1.02483333333
2009-01-01 02:00:00,2009.0,1.0,1.0,2.0,18.112,261.9385,16.0,82702.5866667,275.60275,1.02733333333
2009-01-01 03:00:00,2009.0,1.0,1.0,3.0,16.57,260.304333333,15.9996666667,82661.7733333,275.284916667,1.02741666667
2009-01-01 04:00:00,2009.0,1.0,1.0,4.0,14.2715833333,263.04425,15.9661666667,82660.77,275.158083333,1.02583333333
2009-01-01 05:00:00,2009.0,1.0,1.0,5.0,16.8379166667,269.766416667,15.9998333333,82633.6846667,276.039083333,1.02483333333
2009-01-01 06:00:00,2009.0,1.0,1.0,6.0,19.2208333333,271.18125,16.0,82590.346,276.60125,1.02258333333
2009-01-01 07:00:00,2009.0,1.0,1.0,7.0,20.3444166667,272.499083333,16.0,82552.8133333,276.909416667,1.022
2009-01-01 08:00:00,2009.0,1.0,1.0,8.0,18.6110833333,275.959,16.0,82612.8513333,278.88425,1.01916666667
2009-01-01 09:00:00,2009.0,1.0,1.0,9.0,15.5310833333,270.060583333,15.9966666667,82673.9633333,279.918083333,1.01991666667
2009-01-01 10:00:00,2009.0,1.0,1.0,10.0,15.4678333333,270.59325,15.9976666667,82669.6986667,281.629583333,1.01483333333
2009-01-01 11:00:00,2009.0,1.0,1.0,11.0,15.6530833333,275.823583333,15.9985,82639.3373333,283.304666667,1.00908333333
2009-01-01 12:00:00,2009.0,1.0,1.0,12.0,15.62625,280.467,15.9986666667,82633.916,284.434083333,1.00533333333
2009-01-01 13:00:00,2009.0,1.0,1.0,13.0,15.11225,282.557083333,15.9853333333,82635.4353333,285.09525,1.00283333333
2009-01-01 14:00:00,2009.0,1.0,1.0,14.0,13.7063333333,282.6055,15.8551666667,82635.8206667,285.107583333,1.002
2009-01-01 15:00:00,2009.0,1.0,1.0,15.0,13.593,281.361166667,15.6230833333,82596.98,284.39375,1.00258333333
2009-01-01 16:00:00,2009.0,1.0,1.0,16.0,10.9195833333,276.467583333,12.7653333333,82636.2706667,281.967833333,1.00641666667
