,Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),wind direction at 100m (deg),power (MW),surface air pressure (Pa),air temperature at 2m (K),density at hub height (kg/m^3)
2008-01-01 00:00:00,2008.0,1.0,1.0,0.0,27.5,10.2705833333,315.42325,12.524,94651.5806667,268.1985,1.19966666667
2008-01-01 01:00:00,2008.0,1.0,1.0,1.0,27.5,7.82716666667,341.372833333,6.23791666667,94764.1926667,268.737333333,1.208
2008-01-01 02:00:00,2008.0,1.0,1.0,2.0,27.5,9.301,339.397416667,9.61041666667,94885.8093333,268.104583333,1.21416666667
2008-01-01 03:00:00,2008.0,1.0,1.0,3.0,27.5,10.3066666667,322.350916667,11.0096666667,94955.7753333,268.01425,1.21633333333
2008-01-01 04:00:00,2008.0,1.0,1.0,4.0,27.5,12.0601666667,335.559166667,14.3473333333,95021.1613333,266.68275,1.22075
2008-01-01 05:00:00,2008.0,1.0,1.0,5.0,27.5,12.0021666667,331.262416667,14.4436666667,95113.0953333,266.030666667,1.225
2008-01-01 06:00:00,2008.0,1.0,1.0,6.0,27.5,12.0438333333,328.59975,15.6445833333,95198.9293333,265.4055,1.22891666667
2008-01-01 07:00:00,2008.0,1.0,1.0,7.0,27.5,12.2708333333,329.052833333,15.7514166667,95262.182,265.24125,1.23066666667
2008-01-01 08:00:00,2008.0,1.0,1.0,8.0,27.5,10.9348333333,320.2295,13.8529166667,95320.32,265.196333333,1.23091666667
2008-01-01 09:00:00,2008.0,1.0,1.0,9.0,27.5,11.04875,318.9375,13.4776666667,95379.984,267.14125,1.23125
2008-01-01 10:00:00,2008.0,1.0,1.0,10.0,27.5,10.463,313.063333333,12.4355833333,95419.126,268.366416667,1.22866666667
2008-01-01 11:00:00,2008.0,1.0,1.0,11.0,27.5,13.1700833333,317.412916667,15.94125,95433.3933333,269.292083333,1.22558333333
2008-01-01 12:00:00,2008.0,1.0,1.0,12.0,27.5,13.1218333333,320.385416667,15.9448333333,95452.696,270.193166667,1.222
2008-01-01 13:00:00,2008.0,1.0,1.0,13.0,27.5,12.1375833333,320.726833333,15.6095,95501.9013333,270.893083333,1.21933333333
