,Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),wind direction at 100m (deg),power (MW),surface air pressure (Pa),air temperature at 2m (K),density at hub height (kg/m^3)
2008-01-01 00:00:00,2008.0,1.0,1.0,0.0,27.5,7.27958333333,312.639166667,5.43383333333,94464.716,267.147083333,1.202
2008-01-01 01:00:00,2008.0,1.0,1.0,1.0,27.5,9.02025,281.657083333,9.41091666667,94578.8586667,267.2815,1.20416666667
2008-01-01 02:00:00,2008.0,1.0,1.0,2.0,27.5,9.04191666667,347.695583333,9.34316666667,94707.57,268.361166667,1.21216666667
2008-01-01 03:00:00,2008.0,1.0,1.0,3.0,27.5,8.02066666667,326.981583333,6.81975,94783.1033333,267.143416667,1.21416666667
2008-01-01 04:00:00,2008.0,1.0,1.0,4.0,27.5,11.34575,333.414,14.09725,94829.4933333,266.256583333,1.21825
2008-01-01 05:00:00,2008.0,1.0,1.0,5.0,27.5,10.40175,330.212166667,11.6834166667,94927.46,265.862833333,1.22333333333
2008-01-01 06:00:00,2008.0,1.0,1.0,6.0,27.5,11.1701666667,328.949083333,14.412,95024.28,265.237083333,1.22675
2008-01-01 07:00:00,2008.0,1.0,1.0,7.0,27.5,11.93525,330.36325,15.51175,95104.5433333,264.679,1.22991666667
2008-01-01 08:00:00,2008.0,1.0,1.0,8.0,27.5,11.2396666667,323.785416667,14.3904166667,95146.8126667,264.829166667,1.23016666667
2008-01-01 09:00:00,2008.0,1.0,1.0,9.0,27.5,10.106,324.561416667,12.2793333333,95208.7626667,267.231083333,1.2285
2008-01-01 10:00:00,2008.0,1.0,1.0,10.0,27.5,9.94325,315.555416667,11.10175,95247.8293333,268.562333333,1.22558333333
2008-01-01 11:00:00,2008.0,1.0,1.0,11.0,27.5,12.16075,319.720083333,15.6868333333,95264.9213333,269.438916667,1.22283333333
2008-01-01 12:00:00,2008.0,1.0,1.0,12.0,27.5,13.4183333333,320.903166667,15.9675,95288.7226667,270.297666667,1.21941666667
2008-01-01 13:00:00,2008.0,1.0,1.0,13.0,27.5,13.51775,321.7545,15.9745,95313.444,270.976666667,1.2165
