,Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),wind direction at 100m (deg),power (MW),surface air pressure (Pa),air temperature at 2m (K),density at hub height (kg/m^3)
2009-01-01 00:00:00,2009.0,1.0,1.0,0.0,27.5,11.5021666667,183.205833333,15.0370833333,92835.3346667,268.57525,1.18541666667
2009-01-01 01:00:00,2009.0,1.0,1.0,1.0,27.5,10.7335833333,187.7835,13.69825,92778.114,268.246166667,1.18391666667
2009-01-01 02:00:00,2009.0,1.0,1.0,2.0,27.5,10.7553333333,194.992333333,13.8474166667,92728.6746667,268.04125,1.18191666667
2009-01-01 03:00:00,2009.0,1.0,1.0,3.0,27.5,10.9390833333,207.652416667,14.1416666667,92663.9,267.923083333,1.17891666667
2009-01-01 04:00:00,2009.0,1.0,1.0,4.0,27.5,10.4305833333,225.717916667,13.0018333333,92614.458,267.981,1.175
2009-01-01 05:00:00,2009.0,1.0,1.0,5.0,27.5,7.71175,248.347166667,5.86933333333,92570.13,267.795583333,1.16525
2009-01-01 06:00:00,2009.0,1.0,1.0,6.0,27.5,6.65208333333,267.235,3.5415,92554.7933333,267.748916667,1.154
2009-01-01 07:00:00,2009.0,1.0,1.0,7.0,27.5,9.04708333333,315.814,8.91575,92576.156,268.366333333,1.151
2009-01-01 08:00:00,2009.0,1.0,1.0,8.0,27.5,10.6004166667,260.36575,12.9388333333,92653.4466667,269.81,1.16391666667
2009-01-01 09:00:00,2009.0,1.0,1.0,9.0,27.5,10.7760833333,31.5024166667,13.5294166667,92735.8473333,272.45925,1.16891666667
2009-01-01 10:00:00,2009.0,1.0,1.0,10.0,27.5,8.15416666667,2.37416666667,6.87725,92844.4913333,274.350833333,1.16775
2009-01-01 11:00:00,2009.0,1.0,1.0,11.0,27.5,5.505,35.1686666667,1.899,92893.0186667,275.845916667,1.16358333333
2009-01-01 12:00:00,2009.0,1.0,1.0,12.0,27.5,5.84883333333,152.038916667,2.29266666667,92920.71,276.81225,1.16041666667
2009-01-01 13:00:00,2009.0,1.0,1.0,13.0,27.5,4.6075,267.381,0.964,92957.2566667,277.641833333,1.15708333333
2009-01-01 14:00:00,2009.0,1.0,1.0,14.0,27.5,4.5095,8.77283333333,0.934833333333,92952.2966667,278.149,1.15433333333
2009-01-01 15:00:00,2009.0,1.0,1.0,15.0,27.5,2.09191666667,6.87883333333,0.0140833333333,92960.8413333,277.829333333,1.154
2009-01-01 16:00:00,2009.0,1.0,1.0,16.0,27.5,0.598416666667,172.300083333,0.0,92946.1913333,274.758,1.154
2009-01-01 17:00:00,2009.0,1.0,1.0,17.0,27.5,1.58658333333,158.4755,0.00025,92954.6633333,271.96575,1.1545
2009-01-01 18:00:00,2009.0,1.0,1.0,18.0,27.5,2.55858333333,178.558916667,0.0315,92969.7673333,271.529166667,1.154
2009-01-01 19:00:00,2009.0,1.0,1.0,19.0,27.5,3.43483333333,174.003083333,0.2115,92951.838,271.081666667,1.15491666667
2009-01-01 20:00:00,2009.0,1.0,1.0,20.0,27.5,4.0935,169.589916667,0.621333333333,92912.164,271.0425,1.15491666667
2009-01-01 21:00:00,2009.0,1.0,1.0,21.0,27.5,5.94625,179.358416667,2.46341666667,92879.05,270.49825,1.15858333333
2009-01-01 22:00:00,2009.0,1.0,1.0,22.0,27.5,7.67933333333,187.12625,5.499,92861.3506667,270.678416667,1.16133333333
2009-01-01 23:00:00,2009.0,1.0,1.0,23.0,27.5,9.81925,192.524916667,11.1739166667,92830.7566667,271.534333333,1.1595
2009-01-02 00:00:00,2009.0,1.0,2.0,0.0,27.5,11.1169166667,195.64625,14.3055,92800.3913333,271.717833333,1.16091666667
2009-01-02 01:00:00,2009.0,1.0,2.0,1.0,27.5,11.6899166667,203.27625,15.1959166667,92751.9413333,271.3195,1.16025
2009-01-02 02:00:00,2009.0,1.0,2.0,2.0,27.5,12.7061666667,207.159916667,15.81025,92713.1093333,271.24175,1.159
2009-01-02 03:00:00,2009.0,1.0,2.0,3.0,27.5,13.0789166667,209.91575,15.92375,92698.8426667,271.272916667,1.16016666667
2009-01-02 04:00:00,2009.0,1.0,2.0,4.0,27.5,12.3176666667,211.95825,15.5445833333,92669.6966667,271.258,1.15958333333
2009-01-02 05:00:00,2009.0,1.0,2.0,5.0,27.5,10.2245,213.054166667,12.2625833333,92658.024,270.7565,1.1615
2009-01-02 06:00:00,2009.0,1.0,2.0,6.0,27.5,11.5455833333,221.826083333,14.87175,92631.5486667,270.441833333,1.15933333333
2009-01-02 07:00:00,2009.0,1.0,2.0,7.0,27.5,11.5208333333,231.352166667,14.9669166667,92607.7426667,270.3875,1.15591666667
2009-01-02 08:00:00,2009.0,1.0,2.0,8.0,27.5,10.4886666667,245.12275,12.8398333333,92567.074,270.85,1.14841666667
2009-01-02 09:00:00,2009.0,1.0,2.0,9.0,27.5,6.15433333333,248.91625,3.38541666667,92541.9006667,273.87475,1.14566666667
2009-01-02 10:00:00,2009.0,1.0,2.0,10.0,27.5,4.38233333333,246.888166667,0.833166666667,92542.0513333,276.05075,1.15091666667
2009-01-02 11:00:00,2009.0,1.0,2.0,11.0,27.5,3.00791666667,211.471,0.29,92467.7373333,278.193083333,1.1405
2009-01-02 12:00:00,2009.0,1.0,2.0,12.0,27.5,3.469,160.31175,0.329416666667,92396.7053333,279.7735,1.13983333333
2009-01-02 13:00:00,2009.0,1.0,2.0,13.0,27.5,4.72566666667,158.99925,1.04625,92347.4186667,280.655583333,1.13683333333
2009-01-02 14:00:00,2009.0,1.0,2.0,14.0,27.5,5.10133333333,181.79125,1.389,92318.2746667,281.64425,1.13208333333
2009-01-02 15:00:00,2009.0,1.0,2.0,15.0,27.5,5.82341666667,171.3285,2.26508333333,92261.7366667,281.266,1.13016666667
2009-01-02 16:00:00,2009.0,1.0,2.0,16.0,27.5,8.43541666667,169.515833333,7.12183333333,92186.052,279.087833333,1.12775
2009-01-02 17:00:00,2009.0,1.0,2.0,17.0,27.5,10.7974166667,170.701833333,13.3701666667,92152.7106667,277.093083333,1.127
2009-01-02 18:00:00,2009.0,1.0,2.0,18.0,27.5,11.6541666667,173.978833333,15.0130833333,92137.2986667,276.198166667,1.1265
2009-01-02 19:00:00,2009.0,1.0,2.0,19.0,27.5,12.0169166667,172.2755,15.4785833333,92106.7046667,275.343166667,1.12866666667
2009-01-02 20:00:00,2009.0,1.0,2.0,20.0,27.5,12.6859166667,179.021583333,15.7804166667,92057.8753333,274.781083333,1.13266666667
2009-01-02 21:00:00,2009.0,1.0,2.0,21.0,27.5,12.68425,184.314833333,15.7874166667,91999.5833333,274.66775,1.13566666667
2009-01-02 22:00:00,2009.0,1.0,2.0,22.0,27.5,13.1785833333,185.263583333,15.9155,91962.198,273.891,1.13983333333
2009-01-02 23:00:00,2009.0,1.0,2.0,23.0,27.5,12.1966666667,188.432333333,15.4465833333,91913.4446667,273.003916667,1.143
2009-01-03 00:00:00,2009.0,1.0,3.0,0.0,27.5,11.2528333333,188.096166667,14.4685,91866.3706667,273.116416667,1.14366666667
2009-01-03 01:00:00,2009.0,1.0,3.0,1.0,27.5,10.52425,185.194416667,13.01025,91829.596,272.3825,1.14466666667
2009-01-03 02:00:00,2009.0,1.0,3.0,2.0,27.5,9.59583333333,190.741333333,10.4163333333,91798.3113333,271.902666667,1.14458333333
2009-01-03 03:00:00,2009.0,1.0,3.0,3.0,27.5,7.92575,183.747,5.93458333333,91746.2806667,271.509666667,1.14275
2009-01-03 04:00:00,2009.0,1.0,3.0,4.0,27.5,7.36025,176.541666667,4.68916666667,91694.2453333,271.38675,1.144
2009-01-03 05:00:00,2009.0,1.0,3.0,5.0,27.5,4.90875,172.08825,1.62608333333,91702.028,270.279583333,1.146
2009-01-03 06:00:00,2009.0,1.0,3.0,6.0,27.5,1.75216666667,106.418166667,0.00491666666667,91722.0186667,269.9325,1.15133333333
2009-01-03 07:00:00,2009.0,1.0,3.0,7.0,27.5,3.51358333333,36.4954166667,0.600916666667,91766.0433333,270.108583333,1.1555
2009-01-03 08:00:00,2009.0,1.0,3.0,8.0,27.5,6.83758333333,18.6543333333,3.86775,91855.006,270.515666667,1.15866666667
2009-01-03 09:00:00,2009.0,1.0,3.0,9.0,27.5,7.31875,68.16775,4.74791666667,91964.4893333,272.209083333,1.16433333333
2009-01-03 10:00:00,2009.0,1.0,3.0,10.0,27.5,11.30075,38.0210833333,13.4776666667,92091.9053333,274.743083333,1.1585
2009-01-03 11:00:00,2009.0,1.0,3.0,11.0,27.5,13.0219166667,6.54391666667,15.8819166667,92198.1086667,275.53875,1.15725
2009-01-03 12:00:00,2009.0,1.0,3.0,12.0,27.5,13.1658333333,180.065916667,15.88675,92329.5686667,275.303416667,1.16041666667
2009-01-03 13:00:00,2009.0,1.0,3.0,13.0,27.5,13.5256666667,354.3155,15.9518333333,92466.5186667,274.85225,1.16408333333
2009-01-03 14:00:00,2009.0,1.0,3.0,14.0,27.5,13.6315833333,349.851,15.9396666667,92628.422,273.345083333,1.172
2009-01-03 15:00:00,2009.0,1.0,3.0,15.0,27.5,11.3479166667,349.9815,14.4368333333,92782.1593333,270.663,1.18283333333
2009-01-03 16:00:00,2009.0,1.0,3.0,16.0,27.5,9.90941666667,347.5555,11.619,92867.4593333,269.607583333,1.18591666667
2009-01-03 17:00:00,2009.0,1.0,3.0,17.0,27.5,11.5485,344.6085,14.6810833333,93001.8946667,269.72325,1.18641666667
2009-01-03 18:00:00,2009.0,1.0,3.0,18.0,27.5,12.7333333333,350.28475,15.3944166667,93144.5646667,269.568166667,1.19058333333
2009-01-03 19:00:00,2009.0,1.0,3.0,19.0,27.5,14.58525,352.277166667,15.9959166667,93264.426,269.03625,1.19416666667
2009-01-03 20:00:00,2009.0,1.0,3.0,20.0,27.5,13.9536666667,351.057416667,15.98925,93379.7113333,268.528333333,1.19816666667
2009-01-03 21:00:00,2009.0,1.0,3.0,21.0,27.5,14.3259166667,352.768416667,15.9948333333,93496.3693333,268.080166667,1.20208333333
2009-01-03 22:00:00,2009.0,1.0,3.0,22.0,27.5,12.904,355.100833333,15.8305,93575.2593333,267.791083333,1.20533333333
2009-01-03 23:00:00,2009.0,1.0,3.0,23.0,27.5,11.5551666667,350.886083333,14.3204166667,93676.808,267.838,1.20683333333
2009-01-04 00:00:00,2009.0,1.0,4.0,0.0,27.5,12.1698333333,351.5465,15.4149166667,93795.7573333,267.374416667,1.21066666667
2009-01-04 01:00:00,2009.0,1.0,4.0,1.0,27.5,9.97225,351.841666667,11.62075,93896.922,267.063666667,1.21333333333
2009-01-04 02:00:00,2009.0,1.0,4.0,2.0,27.5,8.82191666667,349.62725,8.73483333333,93987.2586667,266.885666667,1.21525
2009-01-04 03:00:00,2009.0,1.0,4.0,3.0,27.5,8.20233333333,346.821916667,7.00308333333,94092.7766667,266.611833333,1.21791666667
2009-01-04 04:00:00,2009.0,1.0,4.0,4.0,27.5,7.83266666667,346.172583333,6.11966666667,94148.246,266.230083333,1.21991666667
2009-01-04 05:00:00,2009.0,1.0,4.0,5.0,27.5,8.97858333333,343.350583333,9.30483333333,94231.7113333,265.713666667,1.22325
2009-01-04 06:00:00,2009.0,1.0,4.0,6.0,27.5,8.93216666667,344.058916667,9.17308333333,94322.8866667,265.263083333,1.22641666667
2009-01-04 07:00:00,2009.0,1.0,4.0,7.0,27.5,8.12841666667,340.226416667,7.04125,94395.292,264.926666667,1.2285
2009-01-04 08:00:00,2009.0,1.0,4.0,8.0,27.5,8.72716666667,341.252,8.59816666667,94459.226,264.65475,1.23075
2009-01-04 09:00:00,2009.0,1.0,4.0,9.0,27.5,7.50958333333,344.467833333,5.37841666667,94517.288,265.264916667,1.23066666667
2009-01-04 10:00:00,2009.0,1.0,4.0,10.0,27.5,6.54366666667,345.197,3.54958333333,94560.4726667,266.23125,1.22783333333
2009-01-04 11:00:00,2009.0,1.0,4.0,11.0,27.5,5.112,335.880083333,1.52983333333,94553.2233333,267.350583333,1.22258333333
2009-01-04 12:00:00,2009.0,1.0,4.0,12.0,27.5,4.54491666667,325.098583333,0.977666666667,94545.8986667,268.489916667,1.21733333333
2009-01-04 13:00:00,2009.0,1.0,4.0,13.0,27.5,4.23383333333,315.625833333,0.691833333333,94537.1253333,269.570083333,1.21233333333
2009-01-04 14:00:00,2009.0,1.0,4.0,14.0,27.5,3.83125,314.767833333,0.453083333333,94521.8646667,270.37775,1.20808333333
2009-01-04 15:00:00,2009.0,1.0,4.0,15.0,27.5,3.56158333333,315.509833333,0.300083333333,94477.232,270.733916667,1.20516666667
2009-01-04 16:00:00,2009.0,1.0,4.0,16.0,27.5,3.07975,316.067583333,0.10475,94427.8673333,269.689916667,1.204
2009-01-04 17:00:00,2009.0,1.0,4.0,17.0,27.5,2.1545,309.810916667,0.01225,94412.7606667,267.405,1.204
2009-01-04 18:00:00,2009.0,1.0,4.0,18.0,27.5,1.83858333333,271.616,0.000583333333333,94411.158,266.9635,1.204
2009-01-04 19:00:00,2009.0,1.0,4.0,19.0,27.5,2.62358333333,253.700916667,0.0394166666667,94408.1833333,266.680666667,1.204
2009-01-04 20:00:00,2009.0,1.0,4.0,20.0,27.5,3.27433333333,247.000583333,0.147416666667,94379.2666667,266.264916667,1.204
2009-01-04 21:00:00,2009.0,1.0,4.0,21.0,27.5,3.94258333333,241.763583333,0.518833333333,94342.7206667,265.880416667,1.20466666667
2009-01-04 22:00:00,2009.0,1.0,4.0,22.0,27.5,4.8085,235.845666667,1.20733333333,94316.856,265.375916667,1.20508333333
2009-01-04 23:00:00,2009.0,1.0,4.0,23.0,27.5,5.9985,230.09725,2.59791666667,94276.1886667,265.0945,1.2055
2009-01-05 00:00:00,2009.0,1.0,5.0,0.0,27.5,7.07366666667,228.72125,4.40075,94241.7053333,265.458833333,1.20575
2009-01-05 01:00:00,2009.0,1.0,5.0,1.0,27.5,7.79608333333,223.885916667,5.94841666667,94209.8113333,265.62675,1.20575
2009-01-05 02:00:00,2009.0,1.0,5.0,2.0,27.5,8.511,213.3875,7.799,94149.3853333,265.031916667,1.20483333333
2009-01-05 03:00:00,2009.0,1.0,5.0,3.0,27.5,10.0319166667,214.707833333,12.1258333333,94068.13,265.44125,1.2035
2009-01-05 04:00:00,2009.0,1.0,5.0,4.0,27.5,10.414,216.466583333,13.1965,93970.4713333,264.668,1.203
2009-01-05 05:00:00,2009.0,1.0,5.0,5.0,27.5,10.457,215.976666667,13.2996666667,93888.4506667,263.722583333,1.20325
2009-01-05 06:00:00,2009.0,1.0,5.0,6.0,27.5,10.98,214.326083333,14.3310833333,93798.5766667,263.390666667,1.20316666667
2009-01-05 07:00:00,2009.0,1.0,5.0,7.0,27.5,11.3389166667,211.845,14.9145,93696.6426667,263.316333333,1.20216666667
2009-01-05 08:00:00,2009.0,1.0,5.0,8.0,27.5,11.57975,207.71775,15.2565833333,93574.3413333,264.616666667,1.20258333333
2009-01-05 09:00:00,2009.0,1.0,5.0,9.0,27.5,10.2565833333,202.721916667,12.6666666667,93451.6566667,267.355,1.20308333333
2009-01-05 10:00:00,2009.0,1.0,5.0,10.0,27.5,8.84033333333,193.768583333,8.75575,93310.432,269.332,1.19625
2009-01-05 11:00:00,2009.0,1.0,5.0,11.0,27.5,7.07733333333,187.898583333,4.33841666667,93192.1706667,270.819833333,1.1895
2009-01-05 12:00:00,2009.0,1.0,5.0,12.0,27.5,8.46983333333,185.813666667,7.56425,93024.776,272.118416667,1.18216666667
2009-01-05 13:00:00,2009.0,1.0,5.0,13.0,27.5,9.34483333333,185.8735,9.95366666667,92865.0133333,273.0675,1.17608333333
2009-01-05 14:00:00,2009.0,1.0,5.0,14.0,27.5,8.87341666667,186.237416667,8.53325,92740.04,273.598166667,1.17158333333
2009-01-05 15:00:00,2009.0,1.0,5.0,15.0,27.5,8.64708333333,182.932416667,7.88675,92608.9626667,273.651666667,1.16825
2009-01-05 16:00:00,2009.0,1.0,5.0,16.0,27.5,8.153,177.617833333,6.62658333333,92477.808,272.35325,1.16566666667
2009-01-05 17:00:00,2009.0,1.0,5.0,17.0,27.5,9.809,173.865083333,11.1853333333,92393.5766667,270.40925,1.16416666667
2009-01-05 18:00:00,2009.0,1.0,5.0,18.0,27.5,10.4709166667,170.17475,12.9754166667,92318.1206667,269.73625,1.16366666667
2009-01-05 19:00:00,2009.0,1.0,5.0,19.0,27.5,11.8051666667,173.164166667,15.3649166667,92255.0266667,269.020333333,1.16566666667
2009-01-05 20:00:00,2009.0,1.0,5.0,20.0,27.5,11.0915,185.33225,14.2149166667,92212.5253333,267.861916667,1.16966666667
2009-01-05 21:00:00,2009.0,1.0,5.0,21.0,27.5,10.3005,194.147166667,12.62325,92176.6673333,267.3695,1.17166666667
2009-01-05 22:00:00,2009.0,1.0,5.0,22.0,27.5,9.972,203.578,11.7094166667,92141.8026667,267.080166667,1.172
2009-01-05 23:00:00,2009.0,1.0,5.0,23.0,27.5,9.30958333333,211.854166667,9.81491666667,92096.0986667,266.379333333,1.17191666667
2009-01-06 00:00:00,2009.0,1.0,6.0,0.0,27.5,8.21916666667,222.652083333,6.92191666667,92069.93,265.717916667,1.17141666667
2009-01-06 01:00:00,2009.0,1.0,6.0,1.0,27.5,7.35141666667,247.918666667,4.9355,92078.02,265.558166667,1.171
