,Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),wind direction at 100m (deg),power (MW),surface air pressure (Pa),air temperature at 2m (K),density at hub height (kg/m^3)
2007-01-01 00:00:00,2007.0,1.0,1.0,0.0,27.5,12.5840833333,320.341916667,15.8430833333,94101.03,265.148583333,1.19916666667
2007-01-01 01:00:00,2007.0,1.0,1.0,1.0,27.5,11.7236666667,319.462166667,15.4216666667,94144.8206667,264.196583333,1.20141666667
2007-01-01 02:00:00,2007.0,1.0,1.0,2.0,27.5,11.3658333333,320.646083333,14.9205833333,94189.074,264.626833333,1.201
2007-01-01 03:00:00,2007.0,1.0,1.0,3.0,27.5,10.1045,321.6815,12.301,94215.394,264.067583333,1.2015
2007-01-01 04:00:00,2007.0,1.0,1.0,4.0,27.5,9.51425,321.619916667,10.6376666667,94218.066,263.581333333,1.20216666667
2007-01-01 05:00:00,2007.0,1.0,1.0,5.0,27.5,8.13383333333,309.202916667,6.78833333333,94271.016,263.75375,1.20725
2007-01-01 06:00:00,2007.0,1.0,1.0,6.0,27.5,7.56916666667,304.290416667,5.40925,94317.786,264.260416667,1.20775
2007-01-01 07:00:00,2007.0,1.0,1.0,7.0,27.5,7.36075,302.426666667,4.94458333333,94353.8726667,264.158583333,1.20975
2007-01-01 08:00:00,2007.0,1.0,1.0,8.0,27.5,6.82358333333,299.478583333,3.94808333333,94375.4653333,264.224916667,1.21066666667
2007-01-01 09:00:00,2007.0,1.0,1.0,9.0,27.5,5.80841666667,294.007333333,2.35183333333,94411.7813333,265.309333333,1.212
2007-01-01 10:00:00,2007.0,1.0,1.0,10.0,27.5,5.03941666667,286.689916667,1.443,94442.912,266.3985,1.21216666667
2007-01-01 11:00:00,2007.0,1.0,1.0,11.0,27.5,4.059,279.957083333,0.59925,94451.7626667,267.58375,1.21266666667
2007-01-01 12:00:00,2007.0,1.0,1.0,12.0,27.5,3.25425,275.05275,0.177916666667,94452.83,268.50775,1.212
2007-01-01 13:00:00,2007.0,1.0,1.0,13.0,27.5,2.74016666667,266.527583333,0.0488333333333,94460.6113333,269.077333333,1.21083333333
2007-01-01 14:00:00,2007.0,1.0,1.0,14.0,27.5,2.89091666667,262.004916667,0.0606666666667,94465.418,269.218166667,1.20941666667
2007-01-01 15:00:00,2007.0,1.0,1.0,15.0,27.5,3.26158333333,257.228,0.13825,94447.6393333,267.873583333,1.20725
2007-01-01 16:00:00,2007.0,1.0,1.0,16.0,27.5,3.633,246.636416667,0.3395,94421.776,263.855083333,1.20416666667
2007-01-01 17:00:00,2007.0,1.0,1.0,17.0,27.5,4.04466666667,239.318833333,0.569416666667,94422.2326667,261.460333333,1.20241666667
2007-01-01 18:00:00,2007.0,1.0,1.0,18.0,27.5,4.3205,236.614083333,0.764833333333,94453.3626667,260.362416667,1.20291666667
2007-01-01 19:00:00,2007.0,1.0,1.0,19.0,27.5,4.90325,239.905416667,1.29025,94467.63,259.970916667,1.20308333333
2007-01-01 20:00:00,2007.0,1.0,1.0,20.0,27.5,5.57016666667,242.966166667,2.022,94463.1293333,259.79475,1.20408333333
2007-01-01 21:00:00,2007.0,1.0,1.0,21.0,27.5,6.0745,243.917583333,2.6885,94443.904,258.813666667,1.20483333333
2007-01-01 22:00:00,2007.0,1.0,1.0,22.0,27.5,6.378,239.445083333,3.13708333333,94431.0093333,259.497083333,1.20158333333
2007-01-01 23:00:00,2007.0,1.0,1.0,23.0,27.5,7.029,243.470666667,4.30258333333,94420.1726667,259.430666667,1.204
2007-01-02 00:00:00,2007.0,1.0,2.0,0.0,27.5,7.72775,242.077166667,5.77416666667,94411.5533333,259.662333333,1.20383333333
2007-01-02 01:00:00,2007.0,1.0,2.0,1.0,27.5,7.75325,240.218666667,5.83016666667,94409.7206667,260.152416667,1.20283333333
2007-01-02 02:00:00,2007.0,1.0,2.0,2.0,27.5,8.22091666667,235.825333333,6.96391666667,94397.742,260.12,1.203
2007-01-02 03:00:00,2007.0,1.0,2.0,3.0,27.5,8.52241666667,230.950416667,7.765,94371.4206667,260.571166667,1.20541666667
2007-01-02 04:00:00,2007.0,1.0,2.0,4.0,27.5,8.80125,228.108583333,8.57625,94335.41,261.165166667,1.20658333333
2007-01-02 05:00:00,2007.0,1.0,2.0,5.0,27.5,8.7535,229.375583333,8.44441666667,94313.512,260.9275,1.20808333333
2007-01-02 06:00:00,2007.0,1.0,2.0,6.0,27.5,9.33733333333,224.539666667,10.1648333333,94288.5606667,261.46025,1.2065
2007-01-02 07:00:00,2007.0,1.0,2.0,7.0,27.5,9.06866666667,224.556083333,9.38225,94267.7353333,261.175583333,1.20833333333
2007-01-02 08:00:00,2007.0,1.0,2.0,8.0,27.5,8.46608333333,226.882333333,7.71616666667,94218.9793333,262.209,1.21016666667
2007-01-02 09:00:00,2007.0,1.0,2.0,9.0,27.5,6.34383333333,237.25275,3.26575,94195.1773333,264.7645,1.21833333333
2007-01-02 10:00:00,2007.0,1.0,2.0,10.0,27.5,4.52375,251.61325,0.962,94180.4526667,265.634916667,1.21991666667
2007-01-02 11:00:00,2007.0,1.0,2.0,11.0,27.5,5.03358333333,256.099333333,1.41758333333,94133.148,266.825333333,1.20891666667
2007-01-02 12:00:00,2007.0,1.0,2.0,12.0,27.5,4.45233333333,249.95575,0.890333333333,94080.3493333,268.942,1.20183333333
2007-01-02 13:00:00,2007.0,1.0,2.0,13.0,27.5,3.77483333333,240.66,0.415166666667,94043.6526667,270.514833333,1.19758333333
2007-01-02 14:00:00,2007.0,1.0,2.0,14.0,27.5,5.06208333333,236.77525,1.52016666667,94002.5253333,271.472416667,1.1905
2007-01-02 15:00:00,2007.0,1.0,2.0,15.0,27.5,6.07541666667,231.674916667,2.63816666667,93946.372,270.702416667,1.18175
2007-01-02 16:00:00,2007.0,1.0,2.0,16.0,27.5,6.82966666667,224.154083333,3.85466666667,93904.4106667,267.269916667,1.17966666667
2007-01-02 17:00:00,2007.0,1.0,2.0,17.0,27.5,7.65775,222.45175,5.4825,93878.0106667,266.117083333,1.17983333333
2007-01-02 18:00:00,2007.0,1.0,2.0,18.0,27.5,7.52808333333,229.048666667,5.1605,93855.8093333,266.870583333,1.17683333333
2007-01-02 19:00:00,2007.0,1.0,2.0,19.0,27.5,8.23258333333,237.999166667,6.8395,93829.7953333,266.324916667,1.17441666667
2007-01-02 20:00:00,2007.0,1.0,2.0,20.0,27.5,9.40716666667,243.849916667,10.1188333333,93780.354,264.87825,1.17658333333
2007-01-02 21:00:00,2007.0,1.0,2.0,21.0,27.5,10.4810833333,248.035416667,13.1788333333,93737.398,264.934,1.17791666667
2007-01-02 22:00:00,2007.0,1.0,2.0,22.0,27.5,10.67025,246.371,13.6871666667,93714.4326667,266.368166667,1.17883333333
2007-01-02 23:00:00,2007.0,1.0,2.0,23.0,27.5,10.3376666667,247.880666667,12.8003333333,93686.8153333,266.486333333,1.18066666667
2007-01-03 00:00:00,2007.0,1.0,3.0,0.0,27.5,10.5744166667,246.553166667,13.4051666667,93652.0226667,265.25525,1.17625
2007-01-03 01:00:00,2007.0,1.0,3.0,1.0,27.5,10.4404166667,245.0775,13.0468333333,93617.0773333,265.919833333,1.176
2007-01-03 02:00:00,2007.0,1.0,3.0,2.0,27.5,10.2543333333,246.950583333,12.5486666667,93580.0746667,264.42775,1.17841666667
2007-01-03 03:00:00,2007.0,1.0,3.0,3.0,27.5,10.0723333333,251.06325,12.0383333333,93529.9486667,264.2695,1.17808333333
2007-01-03 04:00:00,2007.0,1.0,3.0,4.0,27.5,9.41241666667,249.62225,10.1575,93472.8773333,263.849333333,1.17708333333
2007-01-03 05:00:00,2007.0,1.0,3.0,5.0,27.5,8.21591666667,248.3155,6.83925,93436.104,263.518333333,1.17708333333
2007-01-03 06:00:00,2007.0,1.0,3.0,6.0,27.5,7.45708333333,248.508,5.03216666667,93388.7246667,262.866416667,1.17883333333
2007-01-03 07:00:00,2007.0,1.0,3.0,7.0,27.5,6.98741666667,250.448583333,4.15333333333,93341.648,261.942166667,1.18391666667
2007-01-03 08:00:00,2007.0,1.0,3.0,8.0,27.5,6.74266666667,248.663166667,3.70191666667,93276.568,262.742583333,1.18291666667
2007-01-03 09:00:00,2007.0,1.0,3.0,9.0,27.5,7.1885,248.335833333,4.49991666667,93226.1373333,266.576916667,1.178
2007-01-03 10:00:00,2007.0,1.0,3.0,10.0,27.5,6.17725,247.770333333,2.7985,93195.3906667,268.950083333,1.1815
2007-01-03 11:00:00,2007.0,1.0,3.0,11.0,27.5,5.28475,244.593666667,1.64925,93131.9113333,270.721416667,1.17833333333
2007-01-03 12:00:00,2007.0,1.0,3.0,12.0,27.5,4.58408333333,237.5585,0.963666666667,93059.6573333,272.300166667,1.17458333333
