,Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),wind direction at 100m (deg),power (MW),surface air pressure (Pa),air temperature at 2m (K),density at hub height (kg/m^3)
2010-01-01 00:00:00,2010.0,1.0,1.0,0.0,27.5,7.67675,141.17725,5.67775,94191.196,266.829583333,1.2075
2010-01-01 01:00:00,2010.0,1.0,1.0,1.0,27.5,8.66483333333,141.512416667,8.21441666667,94187.152,266.557583333,1.211
2010-01-01 02:00:00,2010.0,1.0,1.0,2.0,27.5,8.28933333333,136.783,7.22608333333,94196.536,266.10775,1.21416666667
2010-01-01 03:00:00,2010.0,1.0,1.0,3.0,27.5,8.41958333333,133.991166667,7.53983333333,94186.2346667,265.484916667,1.21608333333
2010-01-01 04:00:00,2010.0,1.0,1.0,4.0,27.5,8.78275,131.413333333,8.60366666667,94169.144,265.13125,1.218
2010-01-01 05:00:00,2010.0,1.0,1.0,5.0,27.5,8.656,129.12475,8.25616666667,94171.4333333,264.839166667,1.21975
2010-01-01 06:00:00,2010.0,1.0,1.0,6.0,27.5,8.11391666667,120.055916667,6.82983333333,94176.7006667,264.171583333,1.224
2010-01-01 07:00:00,2010.0,1.0,1.0,7.0,27.5,7.75875,104.287166667,5.97733333333,94223.774,263.597083333,1.22883333333
2010-01-01 08:00:00,2010.0,1.0,1.0,8.0,27.5,8.15475,107.7785,6.95775,94240.866,263.52975,1.23016666667
2010-01-01 09:00:00,2010.0,1.0,1.0,9.0,27.5,5.91433333333,93.4213333333,2.59066666667,94329.2913333,263.957666667,1.23283333333
2010-01-01 10:00:00,2010.0,1.0,1.0,10.0,27.5,5.58941666667,73.04725,2.09958333333,94407.6486667,264.6335,1.23175
2010-01-01 11:00:00,2010.0,1.0,1.0,11.0,27.5,5.37625,62.59925,1.82441666667,94458.538,265.351833333,1.22983333333
2010-01-01 12:00:00,2010.0,1.0,1.0,12.0,27.5,5.20883333333,53.8745833333,1.60608333333,94509.5813333,265.613,1.22958333333
2010-01-01 13:00:00,2010.0,1.0,1.0,13.0,27.5,5.21958333333,44.6024166667,1.62333333333,94554.1373333,265.794,1.22975
2010-01-01 14:00:00,2010.0,1.0,1.0,14.0,27.5,4.72175,43.8653333333,1.15508333333,94597.5513333,265.802583333,1.22941666667
2010-01-01 15:00:00,2010.0,1.0,1.0,15.0,27.5,4.31125,41.5139166667,0.774666666667,94606.248,265.77225,1.229
2010-01-01 16:00:00,2010.0,1.0,1.0,16.0,27.5,4.03116666667,41.6009166667,0.579333333333,94590.0726667,265.431583333,1.229
2010-01-01 17:00:00,2010.0,1.0,1.0,17.0,27.5,3.25108333333,54.4474166667,0.203,94621.0473333,264.207583333,1.22925
2010-01-01 18:00:00,2010.0,1.0,1.0,18.0,27.5,2.85925,48.3345,0.0619166666667,94668.5053333,263.760583333,1.23158333333
2010-01-01 19:00:00,2010.0,1.0,1.0,19.0,27.5,3.3865,36.82275,0.216666666667,94699.7146667,263.27075,1.23358333333
2010-01-01 20:00:00,2010.0,1.0,1.0,20.0,27.5,3.52441666667,58.4693333333,0.295416666667,94706.73,262.841666667,1.23533333333
2010-01-01 21:00:00,2010.0,1.0,1.0,21.0,27.5,3.32925,85.432,0.18625,94702.9146667,262.563333333,1.23733333333
2010-01-01 22:00:00,2010.0,1.0,1.0,22.0,27.5,3.27658333333,94.6143333333,0.174916666667,94715.8093333,262.121083333,1.23933333333
2010-01-01 23:00:00,2010.0,1.0,1.0,23.0,27.5,3.73558333333,119.50625,0.418166666667,94716.4953333,262.064,1.24108333333
2010-01-02 00:00:00,2010.0,1.0,2.0,0.0,27.5,4.00516666667,135.44325,0.571916666667,94706.6533333,261.746333333,1.24258333333
2010-01-02 01:00:00,2010.0,1.0,2.0,1.0,27.5,4.47508333333,131.085,0.9555,94682.7706667,261.6545,1.24425
2010-01-02 02:00:00,2010.0,1.0,2.0,2.0,27.5,5.72733333333,132.257916667,2.31841666667,94662.3253333,261.327916667,1.24833333333
2010-01-02 03:00:00,2010.0,1.0,2.0,3.0,27.5,5.53458333333,139.839583333,2.06491666667,94637.2226667,260.875583333,1.25083333333
2010-01-02 04:00:00,2010.0,1.0,2.0,4.0,27.5,5.30958333333,143.811416667,1.76633333333,94562.9106667,260.782416667,1.251
2010-01-02 05:00:00,2010.0,1.0,2.0,5.0,27.5,5.67066666667,145.577916667,2.24666666667,94517.1313333,260.7755,1.25066666667
2010-01-02 06:00:00,2010.0,1.0,2.0,6.0,27.5,5.93091666667,146.207916667,2.59291666667,94469.0666667,261.059666667,1.24858333333
2010-01-02 07:00:00,2010.0,1.0,2.0,7.0,27.5,6.11208333333,148.834916667,2.83283333333,94426.494,261.223833333,1.24733333333
2010-01-02 08:00:00,2010.0,1.0,2.0,8.0,27.5,6.41066666667,151.08925,3.299,94374.0,261.400583333,1.24591666667
2010-01-02 09:00:00,2010.0,1.0,2.0,9.0,27.5,6.98175,154.007333333,4.35433333333,94331.5773333,261.938416667,1.2435
2010-01-02 10:00:00,2010.0,1.0,2.0,10.0,27.5,6.8395,158.1905,4.07783333333,94286.3366667,262.714333333,1.24008333333
2010-01-02 11:00:00,2010.0,1.0,2.0,11.0,27.5,6.58775,157.603666667,3.59583333333,94220.7206667,263.596,1.23575
2010-01-02 12:00:00,2010.0,1.0,2.0,12.0,27.5,6.44808333333,157.695416667,3.31883333333,94139.1613333,264.571833333,1.23041666667
2010-01-02 13:00:00,2010.0,1.0,2.0,13.0,27.5,6.505,155.425583333,3.40825,94066.68,265.40325,1.22541666667
2010-01-02 14:00:00,2010.0,1.0,2.0,14.0,27.5,6.06166666667,153.233333333,2.71733333333,94026.852,266.012166667,1.22166666667
2010-01-02 15:00:00,2010.0,1.0,2.0,15.0,27.5,6.16383333333,152.209583333,2.86675,93989.2393333,266.125833333,1.21966666667
2010-01-02 16:00:00,2010.0,1.0,2.0,16.0,27.5,6.85283333333,148.164583333,4.02908333333,93924.2346667,265.993666667,1.21891666667
2010-01-02 17:00:00,2010.0,1.0,2.0,17.0,27.5,6.16116666667,143.494166667,2.85816666667,93914.772,265.766333333,1.21916666667
2010-01-02 18:00:00,2010.0,1.0,2.0,18.0,27.5,5.7825,135.972166667,2.33608333333,93937.7366667,265.279833333,1.22141666667
2010-01-02 19:00:00,2010.0,1.0,2.0,19.0,27.5,5.64716666667,134.349333333,2.15858333333,93958.72,265.046833333,1.22258333333
2010-01-02 20:00:00,2010.0,1.0,2.0,20.0,27.5,5.51758333333,134.5925,1.98783333333,93964.9,264.8725,1.22391666667
2010-01-02 21:00:00,2010.0,1.0,2.0,21.0,27.5,6.12733333333,135.706583333,2.80483333333,93958.0326667,264.361666667,1.22466666667
2010-01-02 22:00:00,2010.0,1.0,2.0,22.0,27.5,6.60708333333,131.90875,3.6,93983.3633333,263.834916667,1.22633333333
2010-01-02 23:00:00,2010.0,1.0,2.0,23.0,27.5,6.87666666667,132.4455,4.10366666667,93980.9213333,263.525166667,1.22758333333
2010-01-03 00:00:00,2010.0,1.0,3.0,0.0,27.5,7.19558333333,133.60175,4.70866666667,93997.3246667,263.223916667,1.22866666667
