power,wind_speed
0.0,1
0.0,2
0.0,3
0.041,4
0.146,5
0.293,6
0.493,7
0.725,8
0.983,9
1.233,10
1.532,11
1.839,12
2.0,13
2.0,14
2.0,15
2.0,16
2.0,17
2.0,18
2.0,19
2.0,20
2.0,21
2.0,22
2.0,23
2.0,24
2.0,25
0.0,26
0.0,27
0.0,28
0.0,29
0.0,30
