power,wind_speed
0.0,1
0.0,2
0.00115,3
0.002273,4
0.003598,5
0.005682,6
0.008049,7
0.010985,8
0.015057,9
0.018466,10
0.021023,11
0.022064,12
0.022159,13
0.022159,14
0.022159,15
0.022064,16
0.022064,17
0.022064,18
0.0,19
0.0,20
0.0,21
0.0,22
0.0,23
0.0,24
0.0,25
0.0,26
0.0,27
0.0,28
0.0,29
0.0,30
