power,wind_speed
0.0,1
0.0,2
0.0,3
8e-05,4
0.00017,5
0.0003,6
0.00046,7
0.000576,8
0.000682,9
0.00076,10
0.00082,11
0.00088,12
0.00093,13
0.000989,14
0.000989,15
0.0009,16
0.00081,17
0.00072,18
0.000645,19
0.000612,20
0.0,21
0.0,22
0.0,23
0.0,24
0.0,25
0.0,26
0.0,27
0.0,28
0.0,29
0.0,30
