power,wind_speed
0.0,1
0.0,2
0.0,3
0.087,4
0.199,5
0.372,6
0.596,7
0.892,8
1.238,9
1.6,10
1.926,11
1.992,12
2.0,13
2.0,14
2.0,15
2.0,16
2.0,17
2.0,18
2.0,19
2.0,20
2.0,21
2.0,22
2.0,23
2.0,24
2.0,25
0.0,26
0.0,27
0.0,28
0.0,29
0.0,30
